127.0.0.1 - - [31/Oct/2013:09:11:20 +0530] "GET / HTTP/1.1" 404 955
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/sipml5/callim.jsp?ip=10.1.5.8&name=cred&privateIdentity=sip:cred@tcs.com&realm=tcs.com HTTP/1.1" 200 74452
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/images/section-sep.png HTTP/1.1" 200 930
10.1.5.34 - - [31/Oct/2013:09:32:20 +0530] "GET /WebRTC_presentation/sipml5/assets/style/gemoticons.css HTTP/1.1" 200 1393
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/pageone/friendbook.jsp HTTP/1.1" 200 9603
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/sipml5/SIPml-api.js?svn=179 HTTP/1.1" 200 1075
10.1.5.34 - - [31/Oct/2013:09:32:20 +0530] "GET /WebRTC_presentation/sipml5/assets/css/bootstrap-responsive.css HTTP/1.1" 200 12397
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/sipml5/assets/css/bootstrap.css HTTP/1.1" 200 92633
10.1.5.34 - - [31/Oct/2013:09:32:19 +0530] "GET /WebRTC_presentation/sipml5/assets/js/bootstrap-modal.js HTTP/1.1" 200 5539
10.1.5.34 - - [31/Oct/2013:09:32:20 +0530] "GET /WebRTC_presentation/sipml5/assets/js/bootstrap-dropdown.js HTTP/1.1" 200 2558
10.1.5.34 - - [31/Oct/2013:09:32:20 +0530] "GET /WebRTC_presentation/sipml5/assets/js/bootstrap-transition.js HTTP/1.1" 200 1867
